"matrix2","leuven","w2v","clip","unverified_gpt_summer_no_mc","verified_gpt_summer_no_mc","human_triplet","gpt_triplet","gpt_embed_mds","flan_xl_mds","flan_xxl_mds","human_pairwise_mds","gpt_003_pairwise_mds"
"1","leuven","1","0.819217954090826","0.49817605879863","0.732086098530751","0.907636013880671","0.946689960158281","0.650432632076241","0.770313894616112","0.826878269045637","0.911873691643519","0.889865357416519","0.618771323846032"
"2","w2v","0.819217954090826","1","0.487138558070134","0.642068666907953","0.782122416777856","0.740896480455933","0.565669416326972","0.718722453161251","0.775801195164981","0.832591768018113","0.81273079222204","0.67083761491427"
"3","clip","0.498176058798629","0.487138558070134","1","0.496397383817946","0.501464420395802","0.437403610959942","0.455010623778921","0.589916435678213","0.433258426717337","0.48966629930457","0.511590440180162","0.602717684080181"
"4","unverified_gpt_summer_no_mc","0.732086098530752","0.642068666907952","0.496397383817945","1","0.685382926327927","0.636815992336449","0.477399921682255","0.718741723245974","0.622451314185466","0.68359213829987","0.636777384910208","0.637677143588171"
"5","verified_gpt_summer_no_mc","0.907636013880672","0.782122416777856","0.501464420395802","0.685382926327928","1","0.857504558136223","0.67252932169914","0.814409580047888","0.867238316224568","0.942735291782094","0.888978172681227","0.685593543647747"
"6","human_triplet","0.946689960158281","0.740896480455933","0.437403610959942","0.636815992336449","0.857504558136223","1","0.589747305565411","0.665806309231855","0.768274085409671","0.843168359404976","0.821405576975624","0.484442953952377"
"7","gpt_triplet","0.650432632076241","0.565669416326972","0.455010623778921","0.477399921682256","0.67252932169914","0.589747305565411","0.999999999999999","0.613608468311081","0.587945073911967","0.620837927262695","0.666929413651561","0.562441195026041"
"8","gpt_embed_mds","0.770313894616112","0.718722453161251","0.589916435678213","0.718741723245974","0.814409580047888","0.665806309231855","0.613608468311081","1","0.751571836984018","0.800984746566666","0.836856320169228","0.723306577548554"
"9","flan_xl_mds","0.826878269045636","0.775801195164981","0.433258426717337","0.622451314185466","0.867238316224568","0.768274085409672","0.587945073911967","0.751571836984018","1","0.872766424314721","0.828131479592131","0.640839261828893"
"10","flan_xxl_mds","0.911873691643519","0.832591768018113","0.48966629930457","0.68359213829987","0.942735291782094","0.843168359404976","0.620837927262695","0.800984746566666","0.872766424314721","1","0.902127044263552","0.709701719400391"
"11","human_pairwise_mds","0.889865357416519","0.81273079222204","0.511590440180161","0.636777384910208","0.888978172681226","0.821405576975624","0.666929413651561","0.836856320169227","0.828131479592131","0.902127044263553","1","0.689651281206621"
"12","gpt_003_pairwise_mds","0.618771323846032","0.67083761491427","0.602717684080181","0.637677143588171","0.685593543647747","0.484442953952377","0.562441195026041","0.723306577548554","0.640839261828893","0.709701719400391","0.689651281206621","1"
